hazard_ratio	followup	stratify	n	w	power
0.7	15	FALSE	900	0.152	0.98
0.8	15	FALSE	900	0.152	0.57
0.9	15	FALSE	900	0.152	0.1
0.1	15	FALSE	1000	0.152	1
0.2	15	FALSE	1000	0.152	1
0.3	15	FALSE	1000	0.152	1
0.4	15	FALSE	1000	0.152	1
0.5	15	FALSE	1000	0.152	1
0.6	15	FALSE	1000	0.152	1
0.7	15	FALSE	1000	0.152	0.98
0.8	15	FALSE	1000	0.152	0.71
0.9	15	FALSE	1000	0.152	0.15
0.1	15	FALSE	10	0	0.7
0.2	15	FALSE	10	0	0.75
0.3	15	FALSE	10	0	0.55
0.4	15	FALSE	10	0	0.34
0.5	15	FALSE	10	0	0.09
0.6	15	FALSE	10	0	0.11
0.7	15	FALSE	10	0	0.08
0.8	15	FALSE	10	0	0.01
0.9	15	FALSE	10	0	0.05
0.1	15	FALSE	20	0	0.92
0.2	15	FALSE	20	0	0.99
0.3	15	FALSE	20	0	0.94
0.4	15	FALSE	20	0	0.71
0.5	15	FALSE	20	0	0.49
0.6	15	FALSE	20	0	0.29
0.7	15	FALSE	20	0	0.08
0.8	15	FALSE	20	0	0.08
0.9	15	FALSE	20	0	0.03
0.1	15	FALSE	30	0	0.98
0.2	15	FALSE	30	0	1
0.3	15	FALSE	30	0	1
0.4	15	FALSE	30	0	0.92
0.5	15	FALSE	30	0	0.65
0.6	15	FALSE	30	0	0.42
0.7	15	FALSE	30	0	0.21
0.8	15	FALSE	30	0	0.11
0.9	15	FALSE	30	0	0.02
0.1	15	FALSE	40	0	1
0.2	15	FALSE	40	0	1
0.3	15	FALSE	40	0	0.98
0.4	15	FALSE	40	0	0.95
0.5	15	FALSE	40	0	0.9
0.6	15	FALSE	40	0	0.5
0.7	15	FALSE	40	0	0.33
0.8	15	FALSE	40	0	0.12
0.9	15	FALSE	40	0	0.07
0.1	15	FALSE	50	0	1
0.2	15	FALSE	50	0	1
0.3	15	FALSE	50	0	1
0.4	15	FALSE	50	0	0.99
0.5	15	FALSE	50	0	0.9
0.6	15	FALSE	50	0	0.71
0.7	15	FALSE	50	0	0.38
0.8	15	FALSE	50	0	0.2
0.9	15	FALSE	50	0	0.08
0.1	15	FALSE	60	0	1
0.2	15	FALSE	60	0	1
0.3	15	FALSE	60	0	1
0.4	15	FALSE	60	0	0.99
0.5	15	FALSE	60	0	0.92
0.6	15	FALSE	60	0	0.76
0.7	15	FALSE	60	0	0.41
0.8	15	FALSE	60	0	0.14
0.9	15	FALSE	60	0	0.06
0.1	15	FALSE	70	0	1
0.2	15	FALSE	70	0	1
0.3	15	FALSE	70	0	1
0.4	15	FALSE	70	0	1
0.5	15	FALSE	70	0	0.98
0.6	15	FALSE	70	0	0.84
0.7	15	FALSE	70	0	0.52
0.8	15	FALSE	70	0	0.23
0.9	15	FALSE	70	0	0.07
0.1	15	FALSE	80	0	1
0.2	15	FALSE	80	0	1
0.3	15	FALSE	80	0	1
0.4	15	FALSE	80	0	1
0.5	15	FALSE	80	0	0.98
0.6	15	FALSE	80	0	0.88
0.7	15	FALSE	80	0	0.67
0.8	15	FALSE	80	0	0.21
0.9	15	FALSE	80	0	0.08
0.1	15	FALSE	90	0	1
0.2	15	FALSE	90	0	1
0.3	15	FALSE	90	0	1
0.4	15	FALSE	90	0	1
0.5	15	FALSE	90	0	1
0.6	15	FALSE	90	0	0.94
0.7	15	FALSE	90	0	0.56
0.8	15	FALSE	90	0	0.2
0.9	15	FALSE	90	0	0.1
0.1	15	FALSE	100	0	1
0.2	15	FALSE	100	0	1
0.3	15	FALSE	100	0	1
0.4	15	FALSE	100	0	1
0.5	15	FALSE	100	0	0.99
